Epochs,Close,High,Low,Open
1,-38.549994,-489.199961,12.599968,1.700018
2,-34.149993,-475.199961,11.499969,1.950018
3,-34.149993,-394.449961,12.39997,1.950018
4,-37.499999,-394.449961,22.199974,4.100019
5,-45.450005,-394.449961,38.249969,1.800016
6,-45.450005,-394.449961,47.299972,1.800016
7,-56.050002,-315.649958,47.299972,1.500013
8,-62.300009,-322.149966,68.349967,1.500013
9,-107.700011,-404.149967,68.349967,1.20001
10,-104.500014,-487.049961,68.349967,1.20001
11,-116.000006,-487.049961,67.549964,1.20001
12,-111.900008,-487.049961,79.299948,1.20001
13,-120.050009,-549.54996,78.299948,5.550009
14,-135.550001,-537.049945,106.299956,5.550009
15,-135.550001,-537.049945,97.699966,4.050009
16,-252.899999,-537.049945,93.449966,3.900007
17,-252.899999,-543.149944,86.149962,0.250021
18,-252.899999,-543.149944,88.399962,-13.849985
19,-264.599996,-532.799945,88.399962,-12.249977
20,-257.699994,-371.349948,75.299963,-12.249977
21,-253.199994,-371.349948,75.299963,-9.79998
22,-253.199994,-371.349948,75.299963,-9.79998
23,-253.199994,-374.649943,76.649961,-11.449982
24,-249.899998,-374.649943,75.999959,-8.999985
25,-249.899998,-383.449946,75.999959,-25.249987
26,-249.899998,-463.64995,74.649969,-22.299983
27,-249.899998,-378.949945,74.649969,-43.149974
28,-350.300001,-378.949945,74.649969,-43.149974
29,-350.300001,-379.299953,56.199964,-39.049976
30,-352.9,-379.299953,51.799963,-26.999973
31,-355.450002,-386.449947,35.99996,-26.999973
32,-356.500005,-375.299952,35.99996,-26.899974
33,-358.099996,-375.299952,58.299971,-26.899974
34,-358.099996,-372.799945,58.299971,-26.899974
35,-165.499999,-378.249942,47.999968,-26.899974
36,-165.499999,-378.249942,47.999968,-44.549976
37,-165.499999,-378.249942,3.699964,-44.549976
38,-150.700004,-280.249942,-10.950038,-41.599979
39,-150.700004,-285.049938,-10.950038,-46.449977
40,-150.700004,-282.299938,5.249958,-46.449977
41,-150.700004,-295.049938,5.249958,-47.099978
42,-149.499999,-295.049938,6.199955,-34.049975
43,-133.4,-295.049938,38.649952,-36.749971
44,-119.500006,-295.049938,38.649952,-22.749971
45,-119.500006,-294.749935,38.649952,-13.199966
46,-129.499999,-320.04994,74.599957,-7.799963
47,-145.59999,-314.499936,81.549962,-7.799963
48,-145.59999,-314.499936,81.599966,-0.599966
49,-146.499984,-234.899937,84.299962,-1.449972
50,-102.849974,-251.799939,85.449971,-6.549979
