,Epochs,ONGC Profit
0,1,-3094.7000000000044
1,2,-3096.05
2,3,-3183.1500000000024
3,4,-2820.3999999999987
4,5,-2727.2999999999984
5,6,-2768.9000000000005
6,7,-2961.3
7,8,-3048.449999999997
8,9,-2925.100000000002
9,10,-2802.850000000002
10,11,-2480.3500000000004
11,12,-2037.1500000000015
12,13,-4199.150000000003
13,14,-5291.500000000002
14,15,-4861.400000000003
15,16,-4378.000000000005
16,17,-3935.1500000000033
17,18,-2526.5500000000056
18,19,-2124.5000000000064
19,20,-1529.350000000004
20,21,-1668.0000000000073
21,22,-1634.400000000007
22,23,-941.1499999999996
23,24,-424.29999999999745
24,25,-694.8500000000004
25,26,-1425.3500000000058
26,27,-1433.5000000000055
27,28,-2001.900000000005
28,29,-1636.650000000005
29,30,-1171.800000000001
30,31,-1735.6000000000022
31,32,-1734.0
32,33,-1442.2499999999964
33,34,-1456.9999999999964
34,35,-1481.7999999999993
35,36,-1352.8999999999978
36,37,-1846.050000000002
37,38,-2076.350000000004
38,39,-1673.150000000005
39,40,-1963.1000000000058
40,41,-1955.1000000000058
41,42,-1661.7000000000062
42,43,-1231.7500000000055
43,44,-1491.1500000000087
44,45,-1711.000000000011
45,46,-2318.3000000000075
46,47,-2745.250000000009
47,48,-1317.2500000000055
48,49,-1447.0000000000055
49,50,-1303.7000000000007
